d_tube, camber
0.10335689875149735, 0.040334
0.08805852729442161, 0.058051
0.08183479490264242, 0.065676
0.08053596122712194, 0.072045
0.07956414448333324, 0.077435
0.0788201065048211, 0.081992
0.07824552198289325, 0.085799
0.07780482830604239, 0.088913
0.07747382612212358, 0.091369
0.07723679567500123, 0.093192
0.07708435844177286, 0.094399
0.07699999209396453, 0.095
0.07699999209396453, 0.095
0.07708435844177286, 0.094399
0.07723679567500123, 0.093192
0.07747382612212358, 0.091369
0.07780482830604239, 0.088913
0.07824552198289325, 0.085799
0.0788201065048211, 0.081992
0.07956414448333324, 0.077435
0.08053596122712194, 0.072045
0.08183479490264242, 0.065676
0.08805852729442161, 0.058051
0.10335689875149735, 0.040334 